～	53375 
姬	39664 
依	38536 38537 38538 38539 38540 38541 38542 38543 38544 38545 38546 38547 38548 38549 38550 38551 38552 38553 38554 38555 38556 38557 41384 41600 43455 48331 48409 48421 53135 
闽	52463 
十	36469 36470 36522 36523 36524 36529 37669 37670 37671 37672 37673 37674 37675 37676 37759 37760 37761 37762 38972 39011 39397 39967 39968 39969 39970 39971 39972 39973 39974 39975 39976 39977 39978 39979 39980 39981 39982 39983 39984 39985 39986 39987 39988 39989 39990 39991 39992 39993 39994 39995 39996 39997 39998 39999 40000 40001 40002 40003 40004 40005 40006 40007 41182 41183 41184 45152 48288 49113 49130 49131 51530 
格	37078 37079 37932 37940 38242 38340 39026 39662 39905 41010 42343 42410 42789 43283 43730 43948 43949 44008 45305 45377 46036 46205 46324 46406 46407 46408 46409 46410 46411 46412 46413 46414 46415 46416 46417 46418 46419 46420 46745 46806 47229 47886 49631 50191 50225 50312 50648 52845 52979 52980 52981 53088 53168 53281 
纸	39778 41563 44456 44590 47100 49395 
局	37123 38942 40181 40649 41801 42818 42819 42820 42821 42822 42823 42824 42825 43036 43552 46410 49495 50181 
约	36843 37745 39689 41838 42003 42181 42182 49274 49350 49351 49352 49353 49354 49355 49402 50733 52038 
怠	43920 
就	36343 36441 37576 39826 42756 42757 42758 42759 42760 42761 42762 42763 42764 42765 42766 42767 42768 42769 42770 42771 42772 42773 42774 44208 44282 45590 51655 51815 51816 51817 52053 52364 
置	36727 38373 41626 42345 43191 43409 45135 48992 49656 49657 49658 49659 49660 49661 50614 50928 52212 52649 
帅	37287 43046 49537 
跳	36563 41098 44947 51535 51536 51537 51538 51539 51540 
娼	52066 
⑩	36234 
耸	53177 
１	53337 
亏	36659 37722 37723 48340 50083 50445 50457 
汉	37010 37054 38002 39058 45769 46656 46889 46890 46891 46892 46893 46894 46895 46896 46897 46898 46899 46900 46901 47149 47633 48254 48898 49753 52153 
摧	44934 
合	36715 36716 36878 37813 37927 38269 38285 39053 39313 39376 39508 39514 39542 39933 40702 40703 40704 40705 40706 40707 40708 40709 40710 40711 40712 40713 40714 40715 40716 40717 40718 40719 40720 40721 40722 40723 40724 40725 40726 40727 40728 40729 40772 40915 41434 41639 41640 41779 41871 42001 42558 44072 45172 45173 45819 47343 47450 47936 48412 48430 48432 48460 48464 48465 48847 49079 49080 49315 49410 49493 49574 49575 49576 49832 49856 49857 49868 50503 51266 51748 51962 52027 52207 52692 
挥	36343 38813 40376 40377 44706 44731 
民	36494 36602 36968 37125 37141 37728 37934 37935 37936 37937 37968 38845 38910 39148 39149 39303 39634 40037 40686 40734 41291 41292 41293 41294 42312 42695 42720 42838 43029 43130 43131 43403 43872 45096 45341 45342 46470 46688 46689 46690 46691 46785 46786 46787 46788 46789 46790 46791 46792 46793 46794 46795 46796 46797 46798 46799 46800 46801 46802 46803 46804 46805 46806 46807 46808 46809 46810 46811 46812 46813 46814 46815 46816 46817 46912 47190 47321 48929 
徵	43727 45227 
筒	36499 38301 
座	36334 43310 43311 43312 43313 43330 51821 
